episode,return,loss
0,-169.126,27762.541
1,-319.567,60263.2461
2,-90.678,22201.9883
3,-223.826,36901.9727
4,-197.907,35323.1094
5,-6.536,27609.1289
6,-1097.655,305164.125
7,-973.738,300493.7812
8,-281.398,53174.1797
9,-234.909,46132.6914
10,-907.083,222588.2656
11,-90.111,17406.1309
12,-494.013,111345.2188
13,-51.736,36144.8945
14,-147.197,19200.3105
15,95.811,11072.2529
16,-825.617,174367.9219
17,-13.263,43715.7578
18,-981.581,230259.875
19,-1412.207,374586.9375
20,-778.861,163362.9531
21,-795.24,174362.5781
22,-561.886,80438.8828
23,-1197.774,288750.8125
24,-688.666,106925.4688
25,-940.944,188240.2812
26,-330.212,44752.1367
27,-1315.198,311788.0
28,-1767.312,579080.3125
29,-658.702,101412.5781
30,-1281.93,283155.0625
31,-1241.25,295548.2188
32,-1186.41,249882.4219
33,-743.505,97207.8125
34,-1029.896,173018.0938
35,-1181.439,200237.3438
36,-1698.643,360261.0625
37,-1268.141,245737.9375
38,-1319.224,243824.8125
39,-780.867,85789.0156
40,-1362.245,283008.0938
41,-1152.594,190946.8594
42,-1035.004,134115.1406
43,-1105.259,170612.0781
44,-1224.809,191326.5625
45,-1109.779,139832.0781
46,-1047.649,117570.1484
47,-884.641,95209.8438
48,-1315.748,204678.75
49,-871.616,81800.2109
50,-887.016,69783.3359
51,-709.12,48657.0078
52,-819.405,49313.2969
53,-1012.954,80621.0
54,-1033.261,84160.2266
55,-1333.373,151839.5
56,-437.767,16899.9629
57,-1034.876,85529.1172
58,-863.046,80932.75
59,-1122.047,90077.3906
60,-1214.868,79561.9922
61,-1193.234,107075.0078
62,-1010.768,52964.9766
63,-1256.336,99819.1797
64,-960.194,70393.1719
65,-972.169,56894.1719
66,-1292.236,123295.0781
67,-940.041,43430.0039
68,-1001.793,51805.4805
69,-1029.737,46452.1406
70,-1054.768,72346.7422
71,-1086.645,53630.8984
72,-1097.478,60911.5508
73,-1145.236,74522.0703
74,-954.474,46085.4062
75,-984.685,55797.1641
76,-996.219,57388.0078
77,-1104.619,74856.3594
78,-1290.514,69423.8125
79,-1247.256,73389.2266
80,-1010.829,53634.8594
81,-853.723,48533.2148
82,-1282.102,110879.6094
83,-1087.793,67379.5469
84,-1542.618,120800.0859
85,-1669.498,147328.2969
86,-992.585,62783.043
87,-740.3,34839.2422
88,-1281.966,89016.2031
89,-1322.536,84390.5938
90,-1342.106,82877.1719
91,-787.119,43363.9102
92,-1343.831,81799.2188
93,-827.563,36049.7383
94,-1369.32,75720.3906
95,-1171.42,68362.2031
96,-1132.806,66776.3984
97,-1335.119,74915.0391
98,-1172.003,55364.5977
99,-1311.281,84659.4453
100,-1525.78,108935.1484
101,-1080.738,57250.6445
102,-1171.709,64540.3203
103,-1105.805,50651.9219
104,-880.219,40194.0586
105,-838.902,24263.3184
106,-1118.947,39858.8828
107,-1471.349,83161.9219
108,-1079.856,55432.8477
109,-1168.445,56570.2695
110,-1041.918,21922.0176
111,-660.534,24949.0371
112,-1026.524,45168.1328
113,-1102.263,39656.7578
114,-1128.201,50314.6562
115,-998.584,45910.3672
116,-838.285,27916.8926
117,-1021.153,31603.377
118,-1223.992,43873.2266
119,-791.119,32187.1035
120,-662.688,17737.5391
121,-1295.994,49317.7812
122,-679.303,32767.875
123,-932.247,37379.4883
124,-1082.387,37057.7305
125,-1338.355,72731.7031
126,-1289.556,48028.0391
127,-1053.647,47027.875
128,-1178.12,46934.0039
129,-1257.548,61648.0664
130,-1029.798,47029.3945
131,-726.438,13053.5156
132,-1215.86,53976.2578
133,-1167.627,40299.2734
134,-1261.381,43026.1641
135,-889.154,27193.3262
136,-819.933,18431.9355
137,-992.109,25321.4141
138,-1264.471,35037.0859
139,-1140.172,31853.9531
140,-1155.237,34148.4492
141,-994.165,26547.8164
142,-1220.15,56808.4609
143,-987.797,31911.5801
144,-1134.527,28042.7109
145,-1068.587,34999.3008
146,-951.857,37216.6641
147,-1297.3,42004.1836
148,-939.629,26194.2402
149,-1070.04,25927.1719
150,-863.896,25166.8301
151,-1320.694,53691.6094
152,-973.128,24293.9355
153,-1144.327,18391.5254
154,-791.112,46722.8672
155,-1088.816,41163.9414
156,-635.356,32501.0254
157,-963.211,16609.7734
158,-728.49,29541.9961
159,-1016.789,17422.3047
160,-752.265,27178.7148
161,-970.863,27896.5723
162,-915.03,23334.5684
163,-335.775,74573.7109
164,-744.283,21707.4219
165,-769.277,44748.1094
166,-887.683,30816.7539
167,-930.754,14127.1768
168,-453.97,41072.1016
169,-879.677,19187.0117
170,-385.697,43763.5898
171,-596.369,21210.7246
172,-1131.028,40012.2969
173,-873.167,13035.1562
174,-653.305,22192.918
175,-848.255,17103.3516
176,-765.285,11197.5264
177,-758.144,17412.9473
178,-654.345,13826.7607
179,-890.365,18412.5605
180,-742.537,19605.584
181,-710.271,23107.7402
182,-867.875,17478.5723
183,-633.545,18702.2207
184,-617.769,12049.6377
185,-442.505,29713.1855
186,-851.202,16729.1836
187,-681.508,12416.291
188,-869.363,18738.1836
189,-575.457,12310.2021
190,-791.009,14275.5215
191,-711.438,7795.4346
192,-1187.232,51141.4102
193,-1183.948,70564.1875
194,-894.566,28632.4023
195,-805.053,20948.0527
196,-812.038,26840.2578
197,-1179.414,49181.9883
198,-1171.376,54199.8711
199,-1000.029,35773.6641
200,-1022.888,29233.0352
201,-955.186,26598.6465
202,-877.963,20306.7812
203,-835.134,19929.3184
204,-1099.454,37820.1016
205,-932.489,27730.2109
206,-775.466,14503.4746
207,-1327.573,45929.8828
208,-745.793,21957.9492
209,-1244.009,45876.3008
210,-1370.589,62731.6367
211,-753.435,20130.0234
212,-1170.25,39928.5938
213,-1087.206,36443.418
214,-901.803,25094.2246
215,-649.578,22368.0391
216,-887.434,21437.0352
217,-863.669,25284.1504
218,-577.996,24538.377
219,-944.477,27114.207
220,-1204.364,41703.7969
221,-1224.941,32575.8887
222,-1322.087,46698.8438
223,-1134.551,29050.8496
224,-1149.805,36993.9805
225,-895.249,22477.9492
226,-894.782,21156.5098
227,-820.382,17572.5312
228,-1105.914,27853.6875
229,-1465.698,62637.875
230,-1126.637,31640.7656
231,-1271.631,75226.5312
232,-1207.422,34967.1875
233,-1499.627,61035.8125
234,-1432.52,68588.6484
235,-955.538,14408.8213
236,-844.557,35636.9648
237,-1024.52,23879.8516
238,-1458.672,67655.9141
239,-826.802,24284.25
240,-1277.521,39487.1445
241,-1216.099,31251.9492
242,-991.646,30563.7305
243,-1526.736,62057.8164
244,-1256.928,46877.5703
245,-865.268,36640.668
246,-1205.632,25772.7539
247,-967.763,32264.9883
248,-1131.696,23597.5703
249,-1271.894,29936.7246
250,-1384.854,57878.4023
251,-1044.458,26099.0059
252,-1083.141,31515.793
253,-576.163,49695.5547
254,-902.993,39514.7656
255,-1037.791,18822.2129
256,-1293.51,43882.3203
257,-436.796,49173.5234
258,-1322.007,44757.3203
259,-1154.38,27412.8223
260,-890.179,19688.498
261,-1272.81,40974.2461
262,-976.916,21618.0
263,-1091.631,25943.7012
264,-1342.401,65021.4766
265,-934.808,23813.7109
266,-685.856,30734.6758
267,-906.876,26743.502
