episode,return,shaped_return,loss
0,-226.47,2318.53,1004024.3125
1,-251.55,4218.45,2144272.75
2,-61.085,3708.915,1697672.5
3,-56.453,2843.547,1254239.5
4,-374.59,2975.41,1400850.625
5,58.955,3258.955,1170744.75
6,-350.424,2649.576,1270437.875
7,-395.448,2949.552,1358909.625
8,-227.582,3262.418,1599907.25
9,-142.435,3352.565,1537935.875
10,-40.3,3274.7,1200045.625
11,-206.661,3603.339,1727146.25
12,-199.436,2635.564,1228130.25
13,-89.589,3245.411,1306513.625
14,-726.261,4248.739,2892524.25
15,-79.803,2290.197,885358.0625
16,-99.317,3605.683,1785448.5
17,20.025,4350.025,1918289.75
18,-11.347,2543.653,880227.125
19,-79.828,2645.172,1020113.6875
20,-64.564,2930.436,1213500.5
21,-193.25,3561.75,1886810.625
22,39.68,3034.68,1170390.0
23,-102.06,2302.94,902739.9375
24,-249.623,4365.377,2191181.5
25,-344.298,3830.702,2118849.0
26,-1009.22,4715.78,3789216.25
27,-212.455,2812.545,1306374.875
28,-203.908,2516.092,1080185.25
29,-70.553,3754.447,1424018.75
30,-4.649,4005.351,1837683.25
31,-558.677,4476.323,3101194.25
32,-66.621,3063.379,1118834.875
33,-251.568,5413.432,3087538.25
34,-352.377,3107.623,1499630.0
35,45.998,3510.998,1459657.875
36,-137.05,2347.95,827692.875
37,-359.917,3050.083,1536082.0
38,-322.394,3392.606,1611405.625
39,-11.073,3528.927,1565637.375
40,-346.668,2663.332,1220750.5
41,-399.231,3470.769,1867304.375
42,-262.098,3347.902,1543099.75
43,130.939,2855.939,995893.9375
44,-962.442,4772.558,3620020.75
45,-60.408,3499.592,1549569.875
46,113.77,2738.77,923270.625
47,17.661,2587.661,849886.3125
48,-445.784,3099.216,1611514.875
49,-545.928,4414.072,2658366.0
50,-274.313,3350.687,1610266.5
51,110.045,3575.045,1335069.75
52,-33.924,3081.076,1229997.125
53,34.195,4674.195,2315304.75
54,-94.476,2780.524,1100923.125
55,-173.16,2706.84,1076302.75
56,7.766,3157.766,1217886.375
57,-153.459,2691.541,1113555.75
58,-381.547,2708.453,1259438.625
59,-139.143,2410.857,1052091.375
60,-303.345,2916.655,1363611.375
61,-200.671,1929.329,674021.5
62,-128.358,3141.642,1546905.875
63,-112.399,2627.601,997129.4375
64,-751.229,3723.771,2507286.0
65,-19.957,3575.043,1715909.75
66,-203.007,3081.993,1357645.25
67,-405.139,3139.861,1564381.75
68,-168.515,2156.485,807367.875
69,-304.574,4145.426,2211031.0
70,-322.421,2167.579,794653.625
71,-37.905,3317.095,1428255.375
72,-275.814,2749.186,1147956.625
73,-160.196,2634.804,1160022.625
74,-32.86,2977.14,1350124.625
75,-230.574,3679.426,1782111.625
76,-109.498,3335.502,1487340.25
77,-315.061,3169.939,1404849.75
78,-317.926,2707.074,1256075.0
79,-237.319,2812.681,1253186.125
80,-83.252,4036.748,1889304.875
81,-131.303,2153.697,693128.125
82,-211.373,2078.627,771483.8125
83,-355.979,2499.021,1073574.0
84,-307.362,2872.638,1419266.375
85,-277.722,2497.278,1033668.8125
86,-480.713,2304.287,1011001.6875
87,38.207,2783.207,1014834.8125
88,-378.641,3561.359,1640272.5
89,-271.157,2408.843,1012113.3125
90,-64.719,3035.281,1257307.375
91,157.957,2857.957,1070196.0
92,-349.895,2545.105,1162307.625
93,-64.198,3035.802,1301520.75
94,-323.977,2021.023,769097.6875
95,-693.482,3066.518,1672008.875
96,-260.22,2859.78,1408683.0
97,-200.181,2529.819,1124441.5
98,-202.017,2767.983,1180245.75
99,-100.196,2304.804,815972.0625
100,-948.218,5371.782,4265489.5
101,-6.397,3858.603,1813687.0
102,-168.564,3246.436,1441152.375
103,-125.975,1884.025,605126.875
104,9.052,2739.052,1071135.25
105,-141.126,2688.874,1049682.625
106,-56.295,2633.705,1035660.8125
107,-295.911,2104.089,724617.25
108,-219.801,4160.199,2449894.25
109,-118.306,2781.694,1151355.375
110,-564.083,3590.917,2074258.25
111,-139.934,3290.066,1468065.625
112,-111.571,3153.429,1303015.875
113,-391.828,3383.172,1725346.0
114,-171.298,2288.702,850243.0625
115,-160.207,3619.793,1765281.125
116,-160.023,3619.977,1861298.625
117,-197.687,2152.313,665261.375
118,-589.899,4505.101,2884602.75
119,-303.038,3096.962,1556276.5
120,67.964,3037.964,1136972.875
121,-209.069,1555.931,512541.8125
122,-108.191,2496.809,884301.5
123,36.3,2811.3,1010743.375
124,-250.252,2184.748,819896.6875
125,-448.455,3306.545,1647846.625
126,-71.414,2873.586,1229939.25
127,-716.473,4023.527,2244100.0
128,-387.801,5012.199,3024637.0
129,57.362,2797.362,1128342.0
130,-161.903,2318.097,778734.375
131,-188.926,2946.074,1336726.5
132,-163.624,3646.376,1745859.25
133,-60.61,3814.39,1872901.125
134,-1336.374,5648.626,5316304.5
135,-165.979,3709.021,1835117.375
136,60.369,5370.369,2590952.0
137,102.458,4217.458,1963828.75
138,-109.385,3230.615,1534162.375
139,-164.707,1885.293,694401.875
140,-633.821,3891.179,2528479.0
141,122.668,3572.668,1337206.75
142,71.26,3186.26,1297125.625
143,-819.807,5525.193,4202605.5
144,-131.706,3203.294,1483514.625
145,-366.241,3593.759,2021389.5
146,-631.317,4993.683,3391076.5
147,-225.855,3514.145,1711426.25
148,-284.693,3425.307,1697631.625
149,-573.596,5921.404,3783909.0
150,-156.605,4473.395,2392000.75
151,-698.77,4006.23,2270484.5
152,-191.488,2903.512,1103804.875
153,-224.31,2320.69,905182.125
154,-184.437,3275.563,1580192.875
155,-647.139,4937.861,3397381.25
156,-110.547,3469.453,1600747.25
157,-637.046,3322.954,1961355.0
158,-223.492,3591.508,1632304.625
159,-98.074,3186.926,1439362.0
160,-55.22,2319.78,869593.4375
161,-315.721,2919.279,1399820.375
162,-521.231,4233.769,2549291.75
163,-218.115,3606.885,1815290.25
164,-20.096,3154.904,1347566.25
165,-99.983,2765.017,1073681.375
166,-241.421,3963.579,2203132.75
167,106.715,3141.715,1310539.5
168,25.524,3660.524,1547850.75
169,69.635,2199.635,742581.3125
170,-320.845,4069.155,2154578.5
171,-556.737,3858.263,1988162.125
172,-284.836,3320.164,1527449.875
173,-392.53,3697.47,2127931.5
174,-144.87,2960.13,1256067.625
175,-1151.045,5408.955,4338322.5
176,-500.065,3829.935,2335875.5
177,-305.062,4919.938,2690670.25
178,-560.673,3354.327,2061793.75
179,-144.152,4050.848,1999376.375
