episode,return,loss
0,-165.806,42077.5508
1,-84.627,17830.2422
2,-75.491,22120.5273
3,-1382.861,473522.0938
4,-171.925,39986.2266
5,-352.007,81534.5469
6,-456.434,103691.2734
7,-55.948,20423.9512
8,-423.268,90323.4297
9,-150.711,44759.0508
10,-86.65,16569.0527
11,-507.963,105554.3125
12,17.282,13582.6963
13,-459.766,90204.4375
14,-97.804,29233.5488
15,-132.668,36134.5391
16,-241.443,66354.2422
17,-210.103,46413.9688
18,-260.237,50294.9766
19,24.735,10386.0469
20,-203.03,34517.9102
21,90.254,13942.2314
22,-122.335,22274.916
23,-228.523,35345.4102
24,-455.631,94385.7344
25,-99.53,17284.584
26,-931.116,252033.7344
27,-545.88,137743.5156
28,71.821,15227.6787
29,-53.284,29331.7012
30,-266.099,47852.7031
31,-210.972,53786.5312
32,-132.241,30000.9395
33,20.667,5375.77
34,-17.777,17845.623
35,-123.736,24630.6465
36,-369.414,74100.4453
37,-466.532,88340.4062
38,-280.255,56833.1445
39,-137.511,24869.209
40,-432.403,79219.2422
41,-13.098,13245.208
42,-58.766,28134.0859
43,-585.512,142091.0
44,-244.996,47166.9961
45,-52.197,16501.3379
46,-340.148,64962.1445
47,-177.139,47737.0781
48,-238.343,44865.3828
49,-184.035,32605.0137
50,-528.954,100472.8438
51,-91.199,23962.5059
52,10.929,6608.769
53,-152.378,24731.8535
54,-295.806,54138.9844
55,-48.82,20579.2539
56,-485.79,89001.8281
57,-221.978,47147.6523
58,-208.33,33446.1797
59,-621.874,148917.3594
60,-497.956,86484.7266
61,-7.844,14204.3018
62,-258.314,35885.0312
63,-81.78,18042.5547
64,-353.203,57200.1055
65,-150.33,26760.207
66,-303.59,52265.7305
67,-171.087,28074.248
68,-237.869,40265.9531
69,-372.336,78422.1484
70,-108.271,21937.1934
71,-955.103,277492.9062
72,-151.618,26883.1289
73,-99.143,25161.9648
74,-471.482,79337.8672
75,-491.289,88243.0391
76,-361.265,74120.6797
77,-79.593,14613.2979
78,-200.314,35886.2461
79,12.3,14069.249
80,-450.499,93664.3594
81,-552.144,90752.9766
82,-245.938,40025.3867
83,-430.218,93660.7891
84,-735.271,177375.0469
85,-625.721,131024.9062
86,-176.035,24908.0547
87,-124.451,29870.5
88,-242.322,41019.0859
89,-236.834,42042.5938
90,-184.353,33786.7852
91,-396.873,73062.1719
92,-3.604,13865.2402
93,-555.225,122607.0391
94,-366.263,58334.3242
95,-139.693,29115.0156
96,-848.222,221606.0938
97,-133.419,20718.8457
