episode,return,gae_lambda
0,-232.825,0.95
1,-76.343,0.95
2,-297.562,0.95
3,-113.597,0.95
4,-846.975,0.95
5,-114.253,0.95
6,-173.542,0.95
7,-406.743,0.95
8,-266.442,0.95
9,-121.552,0.95
10,-420.458,0.95
11,-71.11,0.95
12,-213.898,0.95
13,-59.573,0.95
14,-431.361,0.95
15,15.634,0.95
16,-172.771,0.95
17,-48.14,0.95
18,-71.561,0.95
19,-523.626,0.95
20,78.872,0.95
21,-650.543,0.95
22,-101.871,0.95
23,-253.23,0.95
24,53.284,0.95
25,-159.956,0.95
26,-188.967,0.95
27,-199.159,0.95
28,-517.179,0.95
29,316.389,0.95
30,-9.081,0.95
31,-275.043,0.95
32,-626.238,0.95
33,-229.002,0.95
34,-311.158,0.95
35,-279.65,0.95
36,-436.774,0.95
37,-64.495,0.95
38,-392.724,0.95
39,144.138,0.95
40,-524.819,0.95
41,-79.425,0.95
42,-457.996,0.95
43,-324.764,0.95
44,-377.618,0.95
45,-339.462,0.95
46,-378.503,0.95
47,158.549,0.95
48,-223.202,0.95
49,-118.67,0.95
50,17.823,0.95
51,146.843,0.95
52,-874.635,0.95
53,-102.018,0.95
54,-832.962,0.95
55,-971.53,0.95
56,-6.356,0.95
57,-743.452,0.95
58,-228.218,0.95
59,-613.944,0.95
60,-259.486,0.95
61,-130.888,0.95
62,-58.563,0.95
63,-158.976,0.95
64,-604.701,0.95
65,-307.502,0.95
66,-159.469,0.95
67,-302.684,0.95
68,-553.657,0.95
69,-0.3,0.95
70,-99.151,0.95
71,-581.878,0.95
72,-153.23,0.95
73,-145.12,0.95
74,-183.011,0.95
75,-523.36,0.95
76,-1.089,0.95
77,-204.761,0.95
78,-533.714,0.95
79,-386.497,0.95
80,-41.934,0.95
81,-171.457,0.95
82,-313.082,0.95
83,-80.07,0.95
84,-177.226,0.95
85,-329.723,0.95
86,-199.283,0.95
87,-232.371,0.95
88,-168.381,0.95
89,-635.794,0.95
90,-327.096,0.95
91,107.015,0.95
92,-324.737,0.95
93,-110.405,0.95
94,-241.142,0.95
95,-272.416,0.95
96,-781.567,0.95
97,-219.192,0.95
98,-255.868,0.95
99,-236.82,0.95
100,-577.42,0.95
101,-233.797,0.95
102,-149.573,0.95
103,-154.044,0.95
104,76.399,0.95
105,-202.848,0.95
106,-368.037,0.95
107,-216.735,0.95
108,-138.982,0.95
109,-269.838,0.95
110,-582.832,0.95
111,-33.592,0.95
112,-64.671,0.95
113,2.574,0.95
114,-243.497,0.95
115,-225.25,0.95
116,160.781,0.95
117,-11.723,0.95
118,-453.701,0.95
119,62.514,0.95
120,44.698,0.95
121,-371.233,0.95
122,11.317,0.95
123,-92.723,0.95
124,-155.689,0.95
125,-429.076,0.95
126,-157.359,0.95
127,-424.031,0.95
128,-288.201,0.95
129,-252.253,0.95
130,-209.922,0.95
