episode,return,loss
0,-658.189,228634.4062
1,-555.839,143669.2188
2,200.627,19255.3789
3,-726.641,173301.2969
4,-70.266,38717.5391
5,-848.623,213260.3281
6,20.869,17614.7676
7,-448.592,90443.9531
8,448.839,26717.3496
9,-733.805,214116.3906
10,461.234,19846.6172
11,-369.31,101959.0781
12,693.888,44231.3477
13,-1280.243,486985.8125
14,-312.149,67363.0156
15,-520.923,155330.0625
16,-499.082,134717.0625
17,-642.404,189557.0156
18,-387.572,102914.2734
19,-161.147,76333.4844
20,24.849,30312.9043
21,-39.051,62336.0898
22,-699.406,188876.9688
23,314.347,36302.9961
24,37.16,25291.1855
25,-568.022,135841.5469
26,-483.342,118503.6719
27,-474.889,121540.9141
28,606.972,40687.3008
29,-766.279,277911.4062
30,10.959,49481.4062
31,-823.676,310852.7812
32,-180.611,69357.6797
33,-356.221,75403.0234
34,-588.526,136126.6406
35,-984.655,350279.125
36,-699.908,212648.4688
37,-727.513,220333.7344
38,-329.872,104569.8594
39,-189.671,66043.4922
40,-506.976,162880.8125
41,-1029.638,363051.8125
42,-512.485,148880.1094
43,-391.329,103820.2344
44,-1013.622,354431.25
45,-81.455,28362.5781
46,-180.054,47532.0391
47,-753.423,263997.125
48,-19.579,52449.4023
49,-697.031,188249.9688
50,-352.36,84611.9609
51,-394.431,89438.2969
52,159.092,18894.998
53,-500.681,117390.1094
54,-1056.13,378612.7812
55,-170.061,61368.6641
56,-484.928,167357.1406
57,-799.656,210336.6094
58,-877.038,255073.875
59,-610.859,133809.75
60,-1163.352,424051.1875
61,-753.257,237256.9062
62,-1074.719,381719.0312
63,-1016.178,324654.3125
64,-839.825,242622.8125
65,-1254.111,501716.1875
66,-1082.549,341715.625
67,-824.328,247820.25
68,-937.108,343171.5
69,-836.341,222566.7344
70,-769.805,240594.4844
71,-4.658,15887.5459
72,-1168.419,409461.125
73,-776.384,226653.7344
74,-952.756,295884.8438
75,-844.934,270857.875
76,-1015.986,339983.3125
77,-1303.133,472031.8438
78,-1099.315,363925.2812
79,-606.071,174458.1719
80,-1113.308,404196.9375
81,-37.953,21950.1426
82,-985.987,326268.0938
83,-1188.01,451666.4688
84,-1485.815,667306.5625
85,-371.05,84478.0703
86,-690.022,190743.3906
87,-1060.375,370001.2188
88,-987.28,283294.5312
89,-1241.458,508898.375
90,-379.937,108434.4453
91,-1167.762,424216.1875
92,-659.361,173030.0625
93,-1543.051,699861.9375
94,-1135.955,430957.5938
95,-1413.856,633262.3125
96,-460.732,111600.7578
97,-235.6,53695.8398
98,-770.782,257330.75
99,-285.316,72680.5078
100,-1089.315,381957.7188
101,-487.645,128132.1406
102,-1210.151,470204.7812
103,-138.0,42283.043
104,-1097.995,350223.6875
105,-1232.814,464742.0938
106,-1468.378,640570.0
107,-751.928,222928.2344
108,-418.693,168237.9688
109,-985.513,316144.6562
110,-653.366,169915.2656
111,-46.173,17782.4082
112,-1008.975,322111.2188
113,-1029.655,356553.2812
114,-841.095,262518.5312
115,-719.283,208834.25
116,-784.679,232503.6094
117,-1218.889,481972.3438
118,-1123.893,373719.5
119,-502.832,128427.6719
120,-469.824,104858.4766
121,-275.938,70607.7344
122,-137.154,30944.9805
123,-581.155,167855.1719
124,-301.604,66166.4531
125,-1359.708,580704.375
126,-796.18,238223.5625
127,-597.321,199654.6406
128,-1307.033,490661.1875
129,-1181.846,438588.9688
130,-937.859,282521.8438
131,-1307.927,576584.5
132,-1202.721,454167.9375
133,-481.514,110298.0781
134,-1077.958,369308.2812
135,-1087.668,359457.625
136,-894.99,284779.75
137,-1277.944,455507.2812
138,-1002.708,356488.0312
139,-1259.511,469944.1875
140,-1191.025,462491.2188
141,-19.135,27196.7168
142,-829.778,266492.1875
143,-1144.29,374869.1875
144,-740.069,224801.2812
145,-1049.327,339977.5312
146,-1298.702,536426.75
147,-1177.423,400529.8125
148,-931.228,303380.5312
149,-1054.984,339579.4688
150,-1382.393,537069.4375
151,-958.713,300861.3438
152,-1041.055,347838.1875
153,-324.253,78258.2109
154,-1097.728,368460.0312
155,-662.773,174636.9219
156,-355.564,82846.4453
157,-1123.678,364937.9062
158,-1149.403,423532.5938
159,-1431.358,550212.625
160,-1215.856,445942.875
161,-1375.098,556411.6875
162,-383.36,88249.875
163,-868.243,242624.5938
164,-1253.882,436567.0625
165,-242.332,56594.5938
166,-713.534,219258.3906
167,-810.665,221329.7188
168,-117.122,33172.1055
169,-605.688,146513.2656
170,-1017.858,323588.0312
171,-160.646,40881.707
172,-1384.794,540894.625
173,-1069.222,340245.2188
174,-1263.762,495727.8125
175,-1096.24,361644.6875
176,-1155.185,439136.6562
177,-1236.186,420183.7812
178,-405.94,95920.7578
179,-1262.026,491188.2812
180,-1166.366,406790.625
181,-266.202,63535.2656
182,-1150.16,393236.9688
183,-379.559,93239.5859
184,-897.158,250290.5625
185,-1370.871,507539.75
186,-1140.854,398580.6562
187,-1104.907,351820.7812
188,-916.431,249681.75
189,-444.188,117062.2891
190,-941.737,256946.0625
191,-1389.611,473351.6875
192,-1259.898,417260.3125
193,-970.271,303344.0
194,-922.854,289345.4375
195,-1077.057,372908.25
196,-1308.542,465727.9375
197,-1295.705,476721.6875
198,-1250.251,435907.2812
199,-1291.817,471506.9062
200,19.669,13400.041
201,-1066.199,326789.2188
202,-809.775,217636.4375
203,-1413.93,473818.1562
204,-1044.269,339794.9375
205,-1017.752,316830.125
206,-1403.326,493526.1562
207,-1036.368,332567.7812
208,-23.106,18264.9434
209,-1646.586,706731.6875
210,-1024.336,328348.0625
211,-1338.1,471598.0312
212,-1217.27,396569.5312
213,-1140.551,384444.75
214,-1142.136,403316.375
215,-1209.48,410807.3125
216,-456.693,107418.0547
217,-353.337,80608.9609
218,-150.227,40117.6133
219,-1219.087,380321.0
220,-1177.694,407779.1875
221,-1144.793,417206.875
222,-1302.512,463861.9375
223,-1198.7,394462.0312
224,-64.198,14338.7305
225,-1186.202,351948.3125
226,-1262.436,442354.9062
227,-1392.789,509324.8438
228,-1630.022,690201.25
229,-1301.181,455662.8438
230,-1754.191,686705.4375
231,-1196.643,454726.0
232,-1347.863,497079.5312
233,-1487.966,587006.125
234,-1175.127,352910.2812
235,-1056.401,298032.0625
236,-1224.812,399262.1562
237,-1548.323,658760.0
238,-1024.219,315358.625
239,-1357.043,511127.0625
240,-1227.395,420122.9375
241,-1252.839,461686.875
242,-1592.682,657259.5
243,-1518.234,546979.125
244,-992.033,317488.9062
245,-1281.538,460152.8125
246,-1107.647,384352.9688
247,-1070.258,354752.5
248,-1446.77,572921.9375
249,-1410.378,510032.1875
250,-1168.712,404784.8125
251,-983.865,315598.6875
252,-605.962,149893.5
253,-1212.559,400398.5938
254,-1300.098,448086.9062
255,-1226.182,443686.2188
256,39.894,9414.8076
257,-1515.419,622877.625
258,-1106.231,377618.875
259,-1161.12,344316.0
260,-1434.93,511457.125
261,-1259.056,455200.2812
262,-1281.791,430095.5312
263,-1424.531,544050.375
264,-1049.678,334020.4688
265,-987.002,308381.7812
266,-895.055,249420.0156
267,-1421.142,515531.1562
268,-1178.48,453982.3438
269,-1042.67,325696.4062
270,-1212.922,429271.4375
271,-1208.716,345894.5625
272,-39.238,22648.0449
273,-1313.266,473254.0312
274,-1051.271,330882.7812
275,-1207.535,413251.3438
276,-160.741,32777.9297
277,-982.362,337539.4375
278,-1187.077,393038.4688
279,-1116.215,371550.5938
280,-451.218,111678.2422
281,-1265.114,422144.7812
282,-627.792,164540.0625
283,-1486.125,623908.1875
284,-1367.427,534423.6875
285,-1040.369,313560.0312
286,-48.01,17122.084
287,-1615.665,710220.5
288,-431.438,91028.1719
289,-1505.074,615603.875
290,-989.783,297032.1562
291,-1214.377,410667.9688
292,-843.087,247314.1094
293,-185.446,39240.9297
294,-961.238,283048.0938
295,51.58,10015.0303
296,-1117.125,349867.5938
297,-571.914,168205.4062
298,-1127.656,390788.25
299,-1290.297,414975.375
300,-1195.099,375479.0312
301,-1166.683,425856.7812
302,-1051.684,310704.2188
303,-1314.324,424463.4062
304,-1284.125,448134.5312
305,-694.46,178174.5
306,-94.062,24671.8457
307,-1345.369,539392.0
308,-954.18,306887.9375
309,-286.818,58530.3867
310,-1000.163,304876.5312
311,-1073.075,341487.0312
312,-1293.259,474876.0938
313,-1849.409,828031.8125
314,-1327.171,495022.0938
315,-1147.418,396913.8438
316,-1276.649,474753.2812
317,-287.573,54596.6719
318,-1187.798,399822.75
319,-1037.563,352078.1562
320,-1268.474,418761.3125
321,-1272.498,446795.7188
322,-1348.955,472269.4062
323,-698.145,192013.2812
324,-1242.333,403765.5
325,-1371.098,508893.7812
326,-1341.163,448821.2188
327,-684.593,167295.6875
328,-1153.479,384043.9688
329,-1010.611,354024.5312
330,-48.551,17879.4492
331,-899.584,266723.75
332,-178.702,30738.7637
333,-956.429,275388.375
334,-1296.075,503788.3438
335,-960.975,275812.25
336,-1363.022,524835.25
337,-1251.701,448951.5625
338,-932.844,251380.3594
339,-903.659,275227.8438
340,-1210.123,429166.8438
341,-638.122,155679.6875
342,-515.735,128384.8281
343,-137.5,24206.3301
344,-1095.916,417885.75
345,-1342.493,493711.5938
346,-1192.825,413378.3438
347,-205.882,42079.5898
348,-1146.399,355101.2188
349,-1130.534,381735.4062
350,-925.132,265398.7812
351,-1255.368,457035.1875
352,-225.412,39001.3633
353,-1184.957,413351.375
354,-645.449,168183.75
355,-1239.725,405499.1562
356,-988.356,315093.5
357,-997.034,337607.75
358,-438.451,94067.4531
359,-1197.779,388119.7188
360,-1454.156,540371.875
361,-1353.086,478137.1562
362,-154.486,28563.7227
363,-294.522,63307.9062
364,-1155.979,336028.0
365,-1384.72,517299.75
366,-1052.276,354335.7188
367,-1620.638,802297.4375
368,-1230.203,399859.0625
369,-1304.311,475334.875
370,-1221.791,425124.2188
371,-1129.517,375490.625
372,-1197.626,402960.7812
373,-927.874,295236.125
374,-764.236,198160.4688
375,-201.195,34561.6211
376,-1197.15,392487.4062
377,-897.854,260535.9531
378,-407.356,97365.25
379,-1282.587,456872.1875
380,-1367.189,512008.125
381,-1323.8,461359.4062
382,-1335.766,457062.0625
383,-1087.075,341818.0
384,-1195.337,376683.125
