step,episode,ep_return,epsilon
80,1,123.1390,0.9997
161,2,-103.7130,0.9995
231,3,-19.8550,0.9993
372,4,134.4360,0.9988
455,5,-592.6100,0.9986
520,6,-163.2210,0.9984
606,7,-602.7050,0.9981
674,8,-280.2990,0.9979
773,9,-108.1250,0.9976
834,10,-396.3750,0.9974
906,11,13.8210,0.9971
980,12,-116.5110,0.9969
1055,13,-305.9340,0.9967
1144,14,-609.5170,0.9964
1202,15,-94.3600,0.9962
1264,16,-280.6530,0.9960
1373,17,-7.2710,0.9957
1443,18,-121.8040,0.9954
1489,19,-436.0480,0.9953
1563,20,-394.0170,0.9951
1644,21,89.0710,0.9948
1747,22,-352.2750,0.9945
1815,23,-69.0450,0.9943
1861,24,-89.4640,0.9941
1934,25,-100.3630,0.9939
2000,26,-21.8810,0.9937
2078,27,-204.0450,0.9934
2181,28,294.0880,0.9931
2271,29,-183.7060,0.9928
2372,30,-268.3110,0.9925
2436,31,-333.8250,0.9923
2486,32,-524.9400,0.9921
2555,33,-404.8060,0.9919
2643,34,-67.6710,0.9916
2713,35,-378.9760,0.9914
2812,36,-685.1800,0.9911
2936,37,-137.5710,0.9907
3020,38,-599.6520,0.9904
3167,39,431.8700,0.9900
3250,40,-436.5660,0.9897
3337,41,-594.5350,0.9894
3415,42,-407.8970,0.9892
3485,43,-134.2720,0.9890
3561,44,-977.3300,0.9887
3640,45,-207.1290,0.9885
3752,46,-380.8600,0.9881
3813,47,-374.1450,0.9879
3874,48,-278.6180,0.9877
3950,49,-313.5080,0.9875
4007,50,-297.0690,0.9873
4088,51,-304.5250,0.9871
4165,52,-72.8830,0.9868
4232,53,-143.6430,0.9866
4314,54,-98.9120,0.9863
4393,55,-161.2960,0.9861
4447,56,-104.5930,0.9859
4511,57,-208.4120,0.9857
4600,58,-604.5040,0.9854
4673,59,-148.0360,0.9852
4791,60,134.7040,0.9848
4857,61,-165.9810,0.9846
4972,62,-341.3460,0.9843
5028,63,-111.1860,0.9841
5096,64,-190.9570,0.9839
5154,65,-89.1440,0.9837
5250,66,-69.6270,0.9834
5349,67,-131.8260,0.9831
5403,68,-184.4330,0.9829
5514,69,56.4280,0.9825
5601,70,162.4990,0.9823
5684,71,-244.6020,0.9820
5747,72,-167.6530,0.9818
5865,73,186.6550,0.9814
5936,74,-206.8680,0.9812
6041,75,-64.9320,0.9809
6107,76,-311.1480,0.9807
6162,77,-242.5610,0.9805
6243,78,-543.1510,0.9802
6322,79,-122.5410,0.9800
6394,80,-440.3620,0.9798
6464,81,-327.1190,0.9795
6521,82,-243.8510,0.9794
6574,83,-212.3620,0.9792
6629,84,-260.4520,0.9790
6703,85,-306.9650,0.9788
6814,86,177.9990,0.9784
6884,87,-79.9420,0.9782
6960,88,-281.4680,0.9780
7034,89,-605.9060,0.9777
7099,90,-190.8030,0.9775
7196,91,-616.1220,0.9772
7320,92,54.5150,0.9768
7419,93,-277.5930,0.9765
7492,94,-262.6550,0.9763
7583,95,-454.2740,0.9760
7636,96,-345.1630,0.9758
7708,97,22.5630,0.9756
7792,98,-66.2620,0.9753
7925,99,229.3300,0.9749
7982,100,-347.0990,0.9747
8069,101,-991.9610,0.9745
8124,102,-417.3300,0.9743
8228,103,0.1670,0.9739
8289,104,-150.5160,0.9738
8386,105,-89.3910,0.9734
8465,106,-113.1490,0.9732
8542,107,-248.2970,0.9730
8611,108,-364.6510,0.9727
8685,109,-720.2940,0.9725
8748,110,-265.0340,0.9723
8822,111,-137.4990,0.9721
8883,112,-240.9380,0.9719
8958,113,-78.8970,0.9716
9036,114,-139.7360,0.9714
9136,115,-141.1080,0.9711
9208,116,-196.1480,0.9708
9268,117,-455.3910,0.9707
9374,118,28.4040,0.9703
9444,119,-510.4270,0.9701
9507,120,-115.7220,0.9699
9582,121,-215.1550,0.9697
9672,122,-170.0370,0.9694
9780,123,-72.0350,0.9690
9863,124,-199.6320,0.9688
9924,125,-338.8970,0.9686
9991,126,-407.3760,0.9684
10057,127,-250.8760,0.9682
10111,128,-250.1900,0.9680
10196,129,-22.6230,0.9677
10307,130,76.8560,0.9674
10424,131,-68.6900,0.9670
10538,132,79.5820,0.9666
10606,133,-596.4210,0.9664
10694,134,-71.5470,0.9661
10784,135,-169.8350,0.9659
10881,136,-1131.7970,0.9655
10958,137,-548.4280,0.9653
11032,138,74.0930,0.9651
11109,139,-2.4010,0.9648
11177,140,-453.6220,0.9646
11258,141,-208.3530,0.9644
11330,142,-889.2380,0.9641
11426,143,103.6650,0.9638
11480,144,-115.0540,0.9636
