step,episode,ep_return,epsilon
80,1,123.1390,0.9997
161,2,-103.7130,0.9995
231,3,-19.8550,0.9993
372,4,134.4360,0.9988
455,5,-592.6100,0.9986
520,6,-163.2210,0.9984
606,7,-602.7050,0.9981
674,8,-280.2990,0.9979
773,9,-108.1250,0.9976
834,10,-396.3750,0.9974
906,11,13.8210,0.9971
980,12,-116.5110,0.9969
1055,13,-305.9340,0.9967
1144,14,-609.5170,0.9964
1202,15,-94.3600,0.9962
1264,16,-280.6530,0.9960
1368,17,38.0130,0.9957
1428,18,-166.8470,0.9955
1507,19,4.4850,0.9952
1582,20,-390.5980,0.9950
1661,21,-71.7890,0.9947
1746,22,17.8460,0.9945
1834,23,-473.0260,0.9942
1908,24,-275.6470,0.9940
1993,25,-115.8860,0.9937
2056,26,-8.8640,0.9935
2151,27,185.3880,0.9932
2245,28,-469.6900,0.9929
2298,29,-250.7190,0.9927
2388,30,39.9440,0.9924
2455,31,-513.2990,0.9922
2525,32,-302.5760,0.9920
2584,33,-570.3590,0.9918
2679,34,-150.0330,0.9915
2756,35,124.9060,0.9913
2833,36,-231.9850,0.9910
2926,37,98.7620,0.9907
3000,38,-98.7950,0.9905
3079,39,-114.5210,0.9903
3177,40,-341.8220,0.9899
3298,41,67.7410,0.9896
3361,42,-355.0510,0.9894
3426,43,-272.5870,0.9892
3501,44,-168.7830,0.9889
3588,45,-202.1750,0.9886
3658,46,-177.3640,0.9884
3733,47,-93.0720,0.9882
3808,48,12.1520,0.9879
3900,49,49.8920,0.9877
3977,50,-368.5470,0.9874
4054,51,-445.1270,0.9872
4133,52,-346.5430,0.9869
4187,53,-777.6580,0.9867
4265,54,-90.0720,0.9865
4343,55,120.4080,0.9863
4412,56,12.0940,0.9860
4487,57,-365.4110,0.9858
4549,58,-211.5410,0.9856
4614,59,-504.9960,0.9854
4673,60,-146.7900,0.9852
4734,61,-168.1990,0.9850
4806,62,-77.6440,0.9848
4882,63,-467.7830,0.9845
4972,64,-132.0520,0.9843
5036,65,-347.1440,0.9841
5128,66,62.2030,0.9838
5206,67,-637.1270,0.9835
5283,68,-197.6630,0.9833
5360,69,-148.7180,0.9830
5436,70,-40.9750,0.9828
5516,71,-706.1620,0.9825
5571,72,-187.1660,0.9824
5649,73,-72.8060,0.9821
5701,74,-288.7520,0.9819
5776,75,-213.5960,0.9817
5876,76,-144.7430,0.9814
5938,77,-100.8130,0.9812
6014,78,-508.0870,0.9810
6083,79,-70.1280,0.9807
6138,80,-62.6910,0.9806
6211,81,-198.4060,0.9803
6271,82,-336.3790,0.9801
6339,83,-564.2240,0.9799
6441,84,99.5880,0.9796
6505,85,-397.1890,0.9794
6571,86,-398.6130,0.9792
6616,87,-246.1950,0.9791
6716,88,97.8780,0.9787
6793,89,-706.7200,0.9785
6874,90,72.4610,0.9782
6972,91,31.0610,0.9779
7048,92,-49.1950,0.9777
7109,93,-150.5730,0.9775
7175,94,-8.0440,0.9773
7238,95,-116.8390,0.9771
7308,96,-3.0110,0.9769
7401,97,-267.0700,0.9766
7468,98,-198.6510,0.9764
7538,99,-17.4290,0.9761
7618,100,-114.0890,0.9759
7691,101,-12.6780,0.9756
7781,102,-115.8000,0.9754
7835,103,-988.3840,0.9752
7898,104,-215.6360,0.9750
7969,105,-106.4170,0.9748
8046,106,-290.0910,0.9745
8125,107,-348.3560,0.9743
8183,108,-489.5430,0.9741
8242,109,-149.5510,0.9739
8339,110,-7.9170,0.9736
8414,111,-159.9900,0.9734
8515,112,-615.1470,0.9730
8602,113,-457.2660,0.9728
8686,114,-110.0150,0.9725
8746,115,-304.5160,0.9723
8839,116,129.8390,0.9720
8917,117,-123.5460,0.9718
9006,118,-43.4270,0.9715
9067,119,-365.9290,0.9713
9169,120,-215.7890,0.9710
9234,121,-199.4140,0.9708
9328,122,-188.6900,0.9705
9391,123,-472.0670,0.9703
9448,124,-288.9320,0.9701
9544,125,166.0900,0.9698
9609,126,-245.7050,0.9696
9686,127,-643.1640,0.9693
9767,128,-434.3010,0.9691
9833,129,-146.6240,0.9689
9927,130,12.2420,0.9686
10000,131,-138.4180,0.9683
10056,132,-213.2440,0.9682
10099,133,-219.5560,0.9680
10187,134,-256.1610,0.9677
10255,135,-151.0770,0.9675
10321,136,-583.4790,0.9673
10404,137,70.6950,0.9671
10473,138,-23.3850,0.9668
10568,139,84.7830,0.9665
10634,140,-92.1460,0.9663
10754,141,-710.7730,0.9659
10812,142,-318.2060,0.9658
10869,143,-476.6430,0.9656
10952,144,-70.7050,0.9653
11026,145,-45.7860,0.9651
