step,episode,ep_return,epsilon
80,1,123.1390,0.9997
161,2,-103.7130,0.9995
231,3,-19.8550,0.9993
372,4,134.4360,0.9988
455,5,-592.6100,0.9986
520,6,-163.2210,0.9984
606,7,-602.7050,0.9981
674,8,-280.2990,0.9979
773,9,-108.1250,0.9976
834,10,-396.3750,0.9974
906,11,13.8210,0.9971
980,12,-116.5110,0.9969
1055,13,-305.9340,0.9967
1144,14,-609.5170,0.9964
1202,15,-94.3600,0.9962
1264,16,-280.6530,0.9960
1373,17,-7.2710,0.9957
1443,18,-121.8040,0.9954
1489,19,-436.0480,0.9953
1563,20,-394.0170,0.9951
1644,21,89.0710,0.9948
1747,22,-352.2750,0.9945
1815,23,-69.0450,0.9943
1861,24,-89.4640,0.9941
1934,25,-100.3630,0.9939
2000,26,-21.8810,0.9937
2078,27,-204.0450,0.9934
2181,28,294.0880,0.9931
2271,29,-183.7060,0.9928
2372,30,-268.3110,0.9925
2436,31,-333.8250,0.9923
2486,32,-524.9400,0.9921
2555,33,-404.8060,0.9919
2643,34,-67.6710,0.9916
2713,35,-378.9760,0.9914
2812,36,-685.1800,0.9911
2936,37,-137.5710,0.9907
3020,38,-599.6520,0.9904
3167,39,431.8700,0.9900
3250,40,-436.5660,0.9897
3337,41,-594.5350,0.9894
3415,42,-407.8970,0.9892
3485,43,-134.2720,0.9890
3561,44,-977.3300,0.9887
3640,45,-207.1290,0.9885
3752,46,-380.8600,0.9881
3813,47,-374.1450,0.9879
3874,48,-278.6180,0.9877
3950,49,-313.5080,0.9875
4007,50,-297.0690,0.9873
4088,51,-304.5250,0.9871
4165,52,-72.8830,0.9868
4232,53,-143.6430,0.9866
4314,54,-98.9120,0.9863
4393,55,-161.2960,0.9861
4447,56,-104.5930,0.9859
4511,57,-208.4120,0.9857
4600,58,-604.5040,0.9854
4673,59,-148.0360,0.9852
4791,60,134.7040,0.9848
4857,61,-165.9810,0.9846
4972,62,-341.3460,0.9843
5028,63,-111.1860,0.9841
5096,64,-190.9570,0.9839
5154,65,-89.1440,0.9837
5250,66,-69.6270,0.9834
5349,67,-131.8260,0.9831
5403,68,-184.4330,0.9829
5514,69,56.4280,0.9825
5601,70,162.4990,0.9823
5684,71,-244.6020,0.9820
5747,72,-167.6530,0.9818
5865,73,186.6550,0.9814
5936,74,-206.8680,0.9812
6041,75,-64.9320,0.9809
6107,76,-311.1480,0.9807
6162,77,-242.5610,0.9805
6243,78,-543.1510,0.9802
6325,79,-92.8610,0.9800
6409,80,-566.0430,0.9797
6466,81,-134.7420,0.9795
6528,82,-330.3780,0.9793
6629,83,-305.1650,0.9790
6708,84,-307.7440,0.9788
6820,85,-67.1790,0.9784
6901,86,18.3800,0.9781
7004,87,16.5970,0.9778
7100,88,85.2070,0.9775
7164,89,-77.4370,0.9773
7251,90,-14.4220,0.9770
7330,91,-200.4200,0.9768
7414,92,-72.8190,0.9765
7488,93,-39.2490,0.9763
7558,94,-47.3730,0.9761
7622,95,-380.0550,0.9759
7734,96,31.5580,0.9755
7785,97,-105.1550,0.9754
7855,98,-653.5760,0.9751
7925,99,-192.5250,0.9749
8030,100,-360.4680,0.9746
8089,101,-349.4360,0.9744
8160,102,-498.9550,0.9742
8238,103,-296.8860,0.9739
8305,104,-206.7520,0.9737
8382,105,-137.3830,0.9735
8445,106,-100.0750,0.9733
8513,107,-408.5710,0.9730
8606,108,196.5060,0.9728
8659,109,-321.5700,0.9726
8735,110,-13.4130,0.9723
8823,111,-130.5560,0.9721
8894,112,-737.1690,0.9718
8971,113,-149.6350,0.9716
9041,114,-361.5320,0.9714
9117,115,-344.5990,0.9711
9204,116,-285.3920,0.9709
9272,117,-362.4790,0.9706
9334,118,-212.5370,0.9704
9395,119,-37.6480,0.9703
9459,120,-196.4650,0.9700
9550,121,71.5230,0.9698
9604,122,-197.3160,0.9696
9678,123,-169.7970,0.9694
9729,124,-321.2650,0.9692
9799,125,-347.9940,0.9690
9874,126,-130.4030,0.9687
9948,127,10.4390,0.9685
10013,128,-337.4050,0.9683
10091,129,-310.9040,0.9680
10156,130,-323.7640,0.9678
10228,131,-265.8120,0.9676
10304,132,-331.9630,0.9674
10366,133,-349.2660,0.9672
10437,134,48.4950,0.9670
10520,135,-207.0750,0.9667
10611,136,-553.0450,0.9664
10731,137,59.4560,0.9660
10781,138,-279.8340,0.9659
10828,139,-269.3850,0.9657
10890,140,-593.0910,0.9655
10962,141,-147.6680,0.9653
11048,142,-1068.1560,0.9650
11124,143,-417.1690,0.9648
11200,144,-596.7910,0.9645
