episode,reward,eps,n_states
0,1956.6230000000005,1.0,80
1,1848.2000000000012,0.997,113
2,2003.7070000000015,0.9941,137
3,1839.8130000000006,0.9911,156
4,1913.3270000000014,0.9881,187
5,1851.6000000000006,0.9852,198
6,1831.8040000000012,0.9822,211
7,1954.792000000001,0.9792,229
8,1793.151,0.9762,234
9,1834.317000000001,0.9733,238
10,1816.4760000000006,0.9703,254
11,1800.9679999999994,0.9673,258
12,1855.3800000000006,0.9644,265
13,1773.3230000000012,0.9614,270
14,1887.0470000000018,0.9584,280
15,1894.076999999999,0.9555,283
16,1823.502000000001,0.9525,295
17,1766.9429999999998,0.9495,302
18,1886.213000000002,0.9466,309
19,1830.5080000000003,0.9436,318
20,1777.7950000000008,0.9406,321
21,1951.395,0.9377,324
22,1792.6360000000016,0.9347,326
23,1895.3790000000004,0.9317,330
24,1763.6740000000016,0.9287,331
25,1884.603000000001,0.9258,339
26,1996.6859999999995,0.9228,343
27,1790.0820000000012,0.9198,353
28,2065.54,0.9169,363
29,1858.9430000000011,0.9139,364
30,1907.7370000000003,0.9109,367
31,1763.7590000000005,0.908,368
32,1810.7810000000002,0.905,378
33,1894.521000000001,0.902,379
34,1848.5020000000009,0.8991,383
35,1743.5670000000005,0.8961,387
36,1750.1650000000004,0.8931,398
37,1936.3980000000001,0.8902,399
38,1814.500000000002,0.8872,401
39,1591.9599999999998,0.8842,409
40,1856.6770000000008,0.8812,410
41,1980.4010000000005,0.8783,414
42,1798.4560000000008,0.8753,420
43,1855.2810000000006,0.8723,421
44,1742.8260000000002,0.8694,424
45,1794.913000000001,0.8664,428
46,1718.8290000000006,0.8634,430
47,1879.179000000001,0.8605,431
48,1898.4270000000013,0.8575,435
49,1879.9220000000003,0.8545,437
50,1891.182000000001,0.8516,438
51,1740.8600000000013,0.8486,442
52,1634.7160000000013,0.8456,444
53,1721.0310000000004,0.8427,445
54,1722.6410000000003,0.8397,446
55,2016.5240000000006,0.8367,453
56,1615.9700000000003,0.8337,455
57,1917.3390000000004,0.8308,457
58,1943.5060000000005,0.8278,458
59,1871.0340000000003,0.8248,464
60,1913.7280000000003,0.8219,468
61,1877.5420000000001,0.8189,471
62,1966.2070000000012,0.8159,472
63,1865.0350000000005,0.813,476
64,1946.9579999999999,0.81,478
65,1892.953000000002,0.807,480
66,1944.997000000001,0.8041,484
67,1961.8610000000024,0.8011,486
68,1681.539000000001,0.7981,487
