episode,reward,eps
0,270.2870000000055,1.0
1,661.2420000000267,0.996
2,355.4520000000142,0.9921
3,527.1210000000281,0.9881
4,471.4980000000274,0.9842
5,562.2340000000258,0.9802
6,53.49399999999864,0.9762
7,559.0300000000248,0.9723
8,555.2790000000232,0.9683
9,412.82200000001524,0.9644
10,389.1830000000255,0.9604
11,536.2210000000287,0.9565
12,489.28200000002,0.9525
13,774.7280000000244,0.9485
14,435.18400000002197,0.9446
15,741.4620000000239,0.9406
16,476.42500000001854,0.9367
17,518.2070000000297,0.9327
18,411.3260000000073,0.9287
19,409.09200000002346,0.9248
20,492.6390000000222,0.9208
21,489.0240000000206,0.9169
22,807.1550000000285,0.9129
23,518.7950000000275,0.909
24,730.8320000000289,0.905
25,605.7910000000251,0.901
26,651.2640000000207,0.8971
27,583.630000000027,0.8931
28,566.655000000027,0.8892
29,812.0860000000254,0.8852
30,461.4210000000167,0.8812
31,684.7080000000269,0.8773
32,549.1800000000262,0.8733
33,932.2560000000268,0.8694
34,545.4700000000266,0.8654
35,681.2610000000259,0.8615
36,679.4400000000255,0.8575
37,826.0060000000307,0.8535
38,321.5560000000052,0.8496
39,726.2330000000221,0.8456
40,838.3160000000272,0.8417
41,936.50200000003,0.8377
42,703.8920000000262,0.8337
43,918.4800000000266,0.8298
44,691.4660000000283,0.8258
45,816.9200000000245,0.8219
46,721.2530000000253,0.8179
47,978.5710000000269,0.814
48,830.802000000028,0.81
49,937.7740000000251,0.806
50,1050.6960000000274,0.8021
51,880.4150000000265,0.7981
52,760.3790000000306,0.7942
53,599.3950000000267,0.7902
54,539.7530000000219,0.7863
55,877.5360000000284,0.7823
56,995.9760000000297,0.7783
57,1011.6790000000267,0.7744
58,1042.3120000000285,0.7704
59,718.3840000000268,0.7665
60,873.3480000000259,0.7625
61,526.6970000000221,0.7585
62,749.6190000000282,0.7546
63,513.9980000000243,0.7506
64,1034.0090000000284,0.7467
65,961.433000000027,0.7427
66,729.9560000000225,0.7388
67,902.2350000000266,0.7348
68,771.6730000000246,0.7308
69,811.8050000000278,0.7269
70,893.5970000000256,0.7229
71,951.4970000000266,0.719
72,805.8570000000257,0.715
73,983.1270000000289,0.711
74,1067.9920000000286,0.7071
75,854.1920000000267,0.7031
76,735.0000000000265,0.6992
77,920.6060000000277,0.6952
78,1139.6750000000268,0.6913
79,1183.5490000000282,0.6873
80,936.6120000000227,0.6833
81,1035.6220000000283,0.6794
82,1091.2840000000251,0.6754
83,708.2870000000247,0.6715
84,919.9140000000274,0.6675
85,1256.2170000000297,0.6635
86,829.798000000023,0.6596
87,1195.5660000000278,0.6556
88,592.5260000000245,0.6517
89,621.2130000000233,0.6477
90,707.5300000000256,0.6438
91,944.2840000000277,0.6398
92,1022.6620000000274,0.6358
93,1218.0040000000279,0.6319
94,827.6060000000234,0.6279
95,952.3110000000231,0.624
96,1202.6840000000277,0.62
97,974.4470000000242,0.616
98,1080.0850000000246,0.6121
99,1005.260000000026,0.6081
100,1201.4980000000278,0.6042
101,1155.0260000000271,0.6002
102,968.0340000000209,0.5962
103,1018.9760000000251,0.5923
104,884.7160000000285,0.5883
105,1072.9390000000244,0.5844
106,1159.1680000000285,0.5804
107,766.1150000000223,0.5765
108,1508.5370000000285,0.5725
109,1065.4900000000268,0.5685
110,1181.6290000000279,0.5646
111,1132.0890000000256,0.5606
112,1334.5220000000259,0.5567
113,1204.5600000000247,0.5527
114,1010.7470000000235,0.5488
115,933.0450000000242,0.5448
116,837.3130000000218,0.5408
117,821.9690000000222,0.5369
118,1025.1310000000244,0.5329
119,1272.785000000026,0.529
120,1487.9190000000267,0.525
121,1007.624000000024,0.521
122,1277.2610000000288,0.5171
123,1257.4410000000248,0.5131
124,695.057000000021,0.5092
125,1258.4470000000272,0.5052
126,325.79700000002015,0.5012
127,900.616000000021,0.4973
128,1003.5960000000246,0.4933
129,1155.6460000000245,0.4894
130,596.1120000000195,0.4854
131,1212.7460000000258,0.4815
132,976.111000000025,0.4775
133,1223.1560000000259,0.4735
134,1021.3230000000251,0.4696
135,811.1800000000217,0.4656
136,1361.0290000000284,0.4617
137,1463.7860000000253,0.4577
138,987.5290000000235,0.4538
139,1191.6750000000245,0.4498
140,483.6420000000212,0.4458
141,1145.6920000000246,0.4419
142,909.5140000000257,0.4379
143,1265.2570000000258,0.434
144,1234.4070000000243,0.43
145,1091.5900000000256,0.426
146,1064.8510000000222,0.4221
147,888.7950000000212,0.4181
148,1221.6930000000245,0.4142
149,857.9410000000228,0.4102
150,1205.775000000023,0.4062
151,574.9830000000218,0.4023
152,959.4580000000217,0.3983
153,1211.5720000000279,0.3944
154,657.8000000000254,0.3904
155,1169.958000000028,0.3865
156,1509.6770000000304,0.3825
157,971.0220000000287,0.3785
158,875.5710000000273,0.3746
159,1121.0960000000243,0.3706
160,1339.4860000000272,0.3667
161,1273.5440000000247,0.3627
162,1030.5950000000262,0.3588
163,1345.7750000000253,0.3548
164,1129.9750000000242,0.3508
165,903.1330000000212,0.3469
166,1470.4710000000287,0.3429
167,1294.7900000000288,0.339
168,1222.1020000000258,0.335
169,1183.865000000027,0.331
170,1258.896000000022,0.3271
171,1273.9080000000254,0.3231
172,1122.9010000000296,0.3192
173,1097.6120000000296,0.3152
174,943.8330000000273,0.3113
175,1400.324000000027,0.3073
176,952.9710000000252,0.3033
177,1470.265000000029,0.2994
178,812.4990000000246,0.2954
