episode,return,cost_per_order,loss
0,-54.823,54.823,-0.9999
1,-313.039,313.039,9.0766
2,47.223,-47.223,-6.736
3,-303.15,303.15,-16.7369
4,-160.774,160.774,-12.1902
5,-586.266,586.266,3.531
6,-240.666,240.666,-13.1524
7,-109.681,109.681,-13.3217
8,78.205,-78.205,-16.1389
9,-101.324,101.324,-5.7961
10,-199.175,199.175,-10.2034
11,-703.65,703.65,-5.0747
12,-424.128,424.128,5.4691
13,-57.138,57.138,-20.6294
14,106.682,-106.682,-21.685
15,201.475,-201.475,-32.9861
16,-477.537,477.537,-6.4005
17,-71.771,71.771,-11.453
18,-208.491,208.491,-7.9989
19,31.732,-31.732,-6.6949
20,-288.87,288.87,2.6813
21,-39.879,39.879,-11.1605
22,-155.734,155.734,2.3658
23,-524.025,524.025,-13.9748
24,-48.859,48.859,-24.9511
25,-306.735,306.735,0.644
26,-323.585,323.585,-1.9028
27,-251.499,251.499,-17.2111
28,-53.062,53.062,-13.414
29,-839.968,839.968,-5.9025
30,-304.7,304.7,-12.3525
31,-710.795,710.795,-7.6735
32,-50.565,50.565,-0.5986
33,-185.771,185.771,4.5621
34,-26.684,26.684,6.7293
35,-37.015,37.015,-5.4279
36,-196.991,196.991,-7.9988
37,-482.317,482.317,0.0034
38,-272.997,272.997,-33.8538
39,-93.355,93.355,-14.4813
40,141.057,-141.057,0.2801
41,-49.554,49.554,6.3596
42,-63.325,63.325,-8.1513
43,-219.789,219.789,2.3973
44,-333.593,333.593,2.9632
45,-114.255,114.255,-8.4455
46,85.401,-85.401,-1.2628
47,-686.783,686.783,-6.9603
48,-82.24,82.24,-9.4893
49,-66.186,66.186,-10.2548
50,-23.252,23.252,-20.8307
51,99.559,-99.559,-28.2455
52,-162.134,162.134,-3.7571
53,-540.041,540.041,1.7934
54,-322.011,322.011,-1.3208
55,81.211,-81.211,-16.1198
56,108.849,-108.849,-18.8277
57,-284.635,284.635,-8.9045
58,-240.693,240.693,-1.359
59,-389.67,389.67,-5.9884
60,-123.262,123.262,-1.3684
61,-93.368,93.368,-21.6522
62,-488.918,488.918,12.3099
63,-140.815,140.815,-2.0387
64,-220.14,220.14,4.7029
65,-279.715,279.715,-8.7383
66,-640.579,640.579,-8.0176
67,-386.223,386.223,5.9013
68,-522.981,522.981,-20.2341
69,-448.091,448.091,1.5901
70,-115.679,115.679,4.5489
71,-817.859,817.859,6.9978
72,-225.607,225.607,-12.8927
73,-56.926,56.926,-16.195
74,-56.659,56.659,8.5493
75,-263.229,263.229,-12.8181
76,-423.772,423.772,-6.2007
77,-332.689,332.689,-12.3483
78,-543.144,543.144,-22.0339
79,-315.033,315.033,-17.0872
80,-30.97,30.97,-25.0154
81,-405.705,405.705,2.7384
82,-228.428,228.428,9.3339
83,-143.393,143.393,-16.122
84,-18.676,18.676,-7.4388
85,-325.986,325.986,-5.4499
86,-789.735,789.735,-1.1998
87,-448.886,448.886,-0.4051
88,-262.016,262.016,-4.4637
89,-339.275,339.275,8.2939
90,-235.423,235.423,-8.3974
91,-327.369,327.369,-15.127
92,-80.457,80.457,-9.9753
93,-1141.112,1141.112,-15.9413
94,-36.181,36.181,-16.028
95,-411.425,411.425,-10.0175
96,-713.396,713.396,-1.9034
97,-334.808,334.808,-15.5585
98,-406.037,406.037,-4.6871
99,-717.4,717.4,-11.583
100,-497.365,497.365,-1.9263
101,-95.571,95.571,-18.8235
102,-993.349,993.349,-9.8178
103,-175.864,175.864,-0.4146
104,-226.978,226.978,-11.4547
105,-256.35,256.35,-0.7761
106,-197.003,197.003,-10.3767
107,-845.205,845.205,-14.6195
108,-259.169,259.169,-13.1366
109,-302.115,302.115,2.8318
110,2.568,-2.568,-8.0155
111,-22.131,22.131,2.918
112,109.858,-109.858,-1.6407
113,-438.104,438.104,-6.2416
114,-989.647,989.647,7.7013
115,-169.224,169.224,-7.9669
116,-460.46,460.46,5.6799
117,-92.826,92.826,-21.3199
118,-491.716,491.716,11.4827
119,167.606,-167.606,-1.4272
120,-397.464,397.464,-29.505
121,44.851,-44.851,-15.5674
122,17.131,-17.131,-16.3658
123,-433.945,433.945,-10.2432
124,-500.266,500.266,-5.0067
125,-320.064,320.064,-18.1466
126,-155.938,155.938,-12.9488
127,-421.075,421.075,7.8329
128,-490.469,490.469,3.9835
129,-527.958,527.958,-12.2247
130,2.325,-2.325,17.9658
131,-573.476,573.476,-4.4239
132,-604.528,604.528,-34.0755
133,-228.77,228.77,-10.7375
134,-153.235,153.235,6.6785
135,188.651,-188.651,-1.9411
136,55.489,-55.489,-3.2987
137,-67.707,67.707,-36.708
138,-212.858,212.858,-9.3549
139,-668.801,668.801,-9.448
140,-697.826,697.826,-9.6293
141,-32.832,32.832,-17.0936
142,-5.769,5.769,-15.7115
143,-199.225,199.225,-16.1975
144,-116.74,116.74,-11.9746
145,-238.88,238.88,-20.87
146,-307.804,307.804,9.5518
147,-122.838,122.838,-13.0081
148,-105.502,105.502,-19.835
149,268.457,-268.457,-17.8447
150,-54.049,54.049,8.292
151,167.376,-167.376,-21.3887
152,-152.149,152.149,-13.3474
153,-95.185,95.185,-17.8462
154,-23.012,23.012,-18.6907
155,2.289,-2.289,-6.9006
156,-316.016,316.016,1.5387
157,-233.115,233.115,-22.4573
158,-630.982,630.982,2.6772
159,-267.541,267.541,-4.3203
160,-258.268,258.268,-18.1538
161,-47.764,47.764,-6.7294
162,-318.387,318.387,4.7013
163,55.379,-55.379,-8.4318
164,-927.975,927.975,-3.6401
165,-48.502,48.502,-18.9607
166,-305.478,305.478,-14.5325
167,40.828,-40.828,7.3058
168,-468.262,468.262,-1.0378
169,72.818,-72.818,-15.3162
170,-58.856,58.856,-11.8824
171,26.527,-26.527,11.0075
172,-114.681,114.681,-7.8694
173,-474.574,474.574,-13.3353
174,-204.948,204.948,-21.2916
175,-175.781,175.781,-2.9417
176,89.089,-89.089,-21.1591
177,-914.43,914.43,-2.694
178,-449.506,449.506,-17.1152
179,-366.362,366.362,3.7626
180,-213.054,213.054,2.1336
181,-201.796,201.796,-8.1074
182,-197.854,197.854,-0.3583
183,-85.76,85.76,3.4865
184,-342.376,342.376,-9.6842
185,-15.559,15.559,-18.4213
186,-313.731,313.731,17.5126
187,-230.137,230.137,2.4805
188,-243.124,243.124,22.1996
189,-255.539,255.539,-8.11
190,-188.226,188.226,23.0801
191,-270.302,270.302,12.8795
192,-42.06,42.06,-7.1702
193,135.462,-135.462,-16.1484
194,-207.225,207.225,-4.6593
195,97.565,-97.565,-15.2357
196,-263.097,263.097,17.4929
197,-126.88,126.88,-5.1998
198,-100.604,100.604,11.7399
199,-180.359,180.359,-21.8278
200,-166.263,166.263,4.2145
201,-374.078,374.078,-7.1965
202,-154.599,154.599,-1.2656
203,-769.543,769.543,5.0582
204,-622.285,622.285,-16.9993
205,111.4,-111.4,-2.0407
206,-347.952,347.952,0.787
